Luis Fonsi - Despacito ft. Daddy Yankee,"4,618,196,414","153,417,422,641"
Ed Sheeran - Shape of You (Official Music Video),"2,959,216,343",
Shakira - Chantaje (Official Video) ft. Maluma,"1,721,760,262",
Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video],"1,591,200,578",
"J Balvin, Willy William - Mi Gente (Official Video)","1,503,288,018",
Maluma - Felices los 4 (Official Video),"1,223,203,882",
Bruno Mars - That’s What I Like [Official Music Video],"1,111,498,117",
CNCO - Reggaetón Lento (Bailemos),"1,105,706,160",
Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video],"1,072,356,255",
"Chris Jedi - Ahora Dice (Official Video) ft. J. Balvin, Ozuna, Arcángel","1,037,365,162",
The Chainsmokers - Closer (Lyric) ft. Halsey,"1,025,476,803",
Ricky Martin - Vente Pa' Ca (Official Video) ft. Maluma,"1,013,880,956",
El Amante - Nicky Jam (Video Oficial) (Álbum Fénix),"1,012,085,930",
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,"998,036,067",
Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign) [Official Music Video],"956,506,065",
Natti Natasha ❌ Ozuna - Criminal [Official Video],"930,625,733",
Shawn Mendes - Treat You Better,"928,172,256",
Danny Ocean - Me Rehúso (Official Audio),"913,201,635",
"Enrique Iglesias - SUBEME LA RADIO (Official Video) ft. Descemer Bueno, Zion & Lennox","905,795,062",
"DJ Khaled - I'm The One ft. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne","898,792,590",
Wisin - Escápate Conmigo (Official Video) ft. Ozuna,"897,388,464",
The Chainsmokers & Coldplay - Something Just Like This (Lyric),"886,945,033",
"Becky G, Bad Bunny - Mayores (Official Video)","876,215,221",
Dua Lipa - New Rules (Official Music Video),"848,771,017",
The Weeknd - Starboy ft. Daft Punk (Official Video),"830,809,945",
Maroon 5 - Sugar (Official Music Video),"818,933,791",
Taylor Swift - Look What You Made Me Do,"803,853,993",
J Balvin - Si Tu Novio Te Deja Sola ft. Bad Bunny (Official Video),"783,052,159",
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,"766,843,288",
"Calvin Harris, Rihanna - This Is What You Came For (Official Video) ft. Rihanna","755,930,257",
Ed Sheeran - Shape Of You [Official Lyric Video],"747,940,048",
Una Lady Como Tú - MTZ Manuel Turizo | Video Oficial,"739,329,598",
Justin Bieber - Sorry (PURPOSE : The Movement),"731,301,919",
Katy Perry - Roar (Official),"673,485,949",
Daddy Yankee ft. Ozuna - La Rompe Corazones (Video Lyric Oficial),"663,048,745",
Charlie Puth - Attention [Official Video],"654,180,670",
Taylor Swift - Shake It Off,"644,527,937",
"Enrique Iglesias - Bailando (Español) ft. Descemer Bueno, Gente De Zona","634,434,953",
Alan Walker - Faded,"632,700,346",
Bruno Mars - 24K Magic (Official Music Video),"630,557,876",
Post Malone - Congratulations ft. Quavo,"619,947,479",
Ariana Grande ft. Nicki Minaj - Side To Side (Official Video) ft. Nicki Minaj,"613,889,701",
Maluma - Sin Contrato (Official Video),"612,404,991",
Ozuna - Tu Foto (Video Oficial) | Odisea,"609,771,675",
Ed Sheeran - Thinking Out Loud (Official Music Video),"605,700,836",
